region,activity,sex,count
Запорізька,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,1789
Запорізька,Будівництво,Чоловіки,558
Запорізька,Добувна промисловість і розроблення кар'єрів,Чоловіки,17
Запорізька,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,735
Запорізька,Інформація та телекомунікації,Жінки,111
Запорізька,Операції з нерухомим майном,Жінки,433
Запорізька,Будівництво,Жінки,125
Запорізька,"Сільське господарство, лісове господарство та рибне господарство",Жінки,134
Запорізька,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,754
Запорізька,"Професійна, наукова та технічна діяльність",Жінки,280
Запорізька,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,596
Запорізька,"Водопостачання; каналізація, поводження з відходами",Чоловіки,81
Запорізька,Переробна промисловість,Чоловіки,963
Запорізька,Надання інших видів послуг,Жінки,1752
Запорізька,"Мистецтво, спорт, розваги та відпочинок",Жінки,138
Запорізька,Охорона здоров'я та надання соціальної допомоги,Чоловіки,835
Запорізька,Освіта,Чоловіки,316
Запорізька,Фінансова та страхова діяльність,Жінки,33
Запорізька,Тимчасове розміщування й організація харчування,Чоловіки,105
Запорізька,Операції з нерухомим майном,Чоловіки,747
Запорізька,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,315
Запорізька,"Професійна, наукова та технічна діяльність",Чоловіки,346
Запорізька,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,1896
Запорізька,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,83
Запорізька,Освіта,Жінки,996
Запорізька,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,14
Івано-Франківська,Переробна промисловість,Жінки,249
Івано-Франківська,Добувна промисловість і розроблення кар'єрів,Жінки,4
Івано-Франківська,Освіта,Жінки,870
Івано-Франківська,Надання інших видів послуг,Жінки,2227
Івано-Франківська,Надання інших видів послуг,Чоловіки,4468
Івано-Франківська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,698
Івано-Франківська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,432
Івано-Франківська,Фінансова та страхова діяльність,Чоловіки,38
Івано-Франківська,Тимчасове розміщування й організація харчування,Жінки,116
Івано-Франківська,Переробна промисловість,Чоловіки,887
Івано-Франківська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,38
Івано-Франківська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,1193
Івано-Франківська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,384
Івано-Франківська,Будівництво,Чоловіки,896
Івано-Франківська,Тимчасове розміщування й організація харчування,Чоловіки,131
Івано-Франківська,Будівництво,Жінки,170
Івано-Франківська,"Мистецтво, спорт, розваги та відпочинок",Жінки,82
Івано-Франківська,Охорона здоров'я та надання соціальної допомоги,Жінки,473
Івано-Франківська,Фінансова та страхова діяльність,Жінки,25
Івано-Франківська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,1114
Івано-Франківська,Освіта,Чоловіки,395
Івано-Франківська,Операції з нерухомим майном,Чоловіки,555
Івано-Франківська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,467
Івано-Франківська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,125
Івано-Франківська,Операції з нерухомим майном,Жінки,390
Івано-Франківська,Інформація та телекомунікації,Чоловіки,206
Івано-Франківська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,160
Івано-Франківська,Добувна промисловість і розроблення кар'єрів,Чоловіки,56
Івано-Франківська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,158
Івано-Франківська,Інформація та телекомунікації,Жінки,97
Івано-Франківська,"Професійна, наукова та технічна діяльність",Жінки,163
Івано-Франківська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,88
Івано-Франківська,"Водопостачання; каналізація, поводження з відходами",Жінки,14
Івано-Франківська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,680
Івано-Франківська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,794
Івано-Франківська,"Професійна, наукова та технічна діяльність",Чоловіки,283
Івано-Франківська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,677
Івано-Франківська,Діяльність домашніх господарств,Жінки,2
Івано-Франківська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,80
Київська,Будівництво,Жінки,458
Київська,"Водопостачання; каналізація, поводження з відходами",Жінки,49
Київська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,3665
Київська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,51
Київська,Переробна промисловість,Чоловіки,2145
Київська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Чоловіки,850
Київська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Чоловіки,232
Київська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Жінки,1572
Київська,Добувна промисловість і розроблення кар'єрів,Жінки,8
Київська,Тимчасове розміщування й організація харчування,Жінки,194
Київська,Інформація та телекомунікації,Жінки,175
Київська,Будівництво,Чоловіки,1823
Київська,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,1905
Київська,Тимчасове розміщування й організація харчування,Чоловіки,226
Київська,"Водопостачання; каналізація, поводження з відходами",Чоловіки,207
Київська,Добувна промисловість і розроблення кар'єрів,Чоловіки,57
Київська,"Сільське господарство, лісове господарство та рибне господарство",Жінки,499
Київська,Переробна промисловість,Жінки,615
Київська,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,308
Київська,Охорона здоров'я та надання соціальної допомоги,Жінки,1044
Київська,Операції з нерухомим майном,Жінки,756
Київська,Фінансова та страхова діяльність,Жінки,24
Київська,Надання інших видів послуг,Жінки,2665
Київська,Фінансова та страхова діяльність,Чоловіки,46
Київська,Операції з нерухомим майном,Чоловіки,1477
Київська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,566
Київська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,1587
Київська,Надання інших видів послуг,Чоловіки,6813
Київська,Діяльність домашніх господарств,Жінки,2
Київська,Діяльність домашніх господарств,Чоловіки,3
Київська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,189
Київська,Освіта,Чоловіки,349
Київська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,916
Київська,"Професійна, наукова та технічна діяльність",Жінки,528
Київська,Освіта,Жінки,1357
Київська,Інформація та телекомунікації,Чоловіки,381
Київська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,3015
Київська,"Професійна, наукова та технічна діяльність",Чоловіки,780
Київська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,1321
Київська,"Мистецтво, спорт, розваги та відпочинок",Жінки,153
Кіровоградська,Освіта,Жінки,748
Кіровоградська,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,13
Кіровоградська,Інформація та телекомунікації,Жінки,58
Кіровоградська,Переробна промисловість,Жінки,186
Кіровоградська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,727
Кіровоградська,Операції з нерухомим майном,Жінки,234
Кіровоградська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,365
Кіровоградська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,80
Кіровоградська,Тимчасове розміщування й організація харчування,Чоловіки,41
Кіровоградська,"Водопостачання; каналізація, поводження з відходами",Жінки,22
Кіровоградська,"Професійна, наукова та технічна діяльність",Чоловіки,172
